"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: n.port;iot2school.js:21[21:26];Sink: node.brokerurl;iot2school.js:154[44:57]::FLOW_DESCR_END","/iot2school/iot2school.js","21","21","21","26"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: this.port;iot2school.js:80[65:73];Sink: node.brokerurl;iot2school.js:154[44:57]::FLOW_DESCR_END","/iot2school/iot2school.js","80","65","80","73"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;iot2school.js:455[40:42];Sink: msg;iot2school.js:460[41:43]::FLOW_DESCR_END","/iot2school/iot2school.js","455","40","455","42"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;iot2school.js:549[40:42];Sink: msg;iot2school.js:554[41:43]::FLOW_DESCR_END","/iot2school/iot2school.js","549","40","549","42"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;iot2school.js:600[38:40];Sink: msg;iot2school.js:615[57:59]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:600[38:40];Sink: msg;iot2school.js:618[66:68]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:600[38:40];Sink: msg;iot2school.js:626[61:63]::FLOW_DESCR_END","/iot2school/iot2school.js","600","38","600","40"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;iot2school.js:854[36:38];Sink: msg;iot2school.js:867[27:29]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:854[36:38];Sink: msg;iot2school.js:878[31:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:854[36:38];Sink: msg;iot2school.js:892[31:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:854[36:38];Sink: msg;iot2school.js:905[31:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:854[36:38];Sink: msg;iot2school.js:912[27:29]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:854[36:38];Sink: msg;iot2school.js:922[31:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:854[36:38];Sink: msg;iot2school.js:929[31:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:854[36:38];Sink: msg;iot2school.js:939[23:25]::FLOW_DESCR_END","/iot2school/iot2school.js","854","36","854","38"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;iot2school.js:966[36:38];Sink: msg;iot2school.js:974[39:41]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:966[36:38];Sink: msg;iot2school.js:981[39:41]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:966[36:38];Sink: msg;iot2school.js:999[31:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:966[36:38];Sink: msg;iot2school.js:1005[31:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;iot2school.js:966[36:38];Sink: msg;iot2school.js:1016[31:33]::FLOW_DESCR_END
