"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: fs.read ... ueFile);aws-iot.js:106[16:41];Sink: arrayToString(tmp);aws-iot.js:328[34:51]::FLOW_DESCR_END","/nodes/aws-iot/aws-iot.js","106","16","106","41"
FLOW_DESCR_START::Source: fs.read ... utf-8');index.js:489[43:76];Sink: array[idx];index.js:180[37:46]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","489","43","489","76"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: options.host;index.js:513[36:47];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.host;index.js:513[36:47];Sink: 'string ...  + '\n';index.js:110[19:58]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.host;index.js:513[36:47];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.host;index.js:513[36:47];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.host;index.js:513[36:47];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","513","36","513","47"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: connack;index.js:753[34:40];Sink: connack;index.js:771[28:34]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","753","34","753","40"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;index.js:773[32:34];Sink: err;index.js:775[29:31]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;index.js:773[32:34];Sink: error;device-example.js:97[31:35]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;index.js:773[32:34];Sink: error;echo-example.js:62[31:35]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;index.js:773[32:34];Sink: error;jobs-agent.js:708[48:52]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;index.js:773[32:34];Sink: error;jobs-example.js:66[31:35]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;index.js:773[32:34];Sink: error;temperature-control.js:431[27:31]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;index.js:773[32:34];Sink: error;thing-example.js:222[28:32]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;index.js:773[32:34];Sink: error;thing-passthrough-example.js:226[28:32]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;index.js:773[32:34];Sink: error;index.js:311[26:30]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;index.js:773[32:34];Sink: error;index.js:335[26:30]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","773","32","773","34"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: error;index.js:810[32:36];Sink: error;index.js:811[26:30]::FLOW_DESCR_END
FLOW_DESCR_START::Source: error;index.js:810[32:36];Sink: error;device-example.js:97[31:35]::FLOW_DESCR_END
FLOW_DESCR_START::Source: error;index.js:810[32:36];Sink: error;echo-example.js:62[31:35]::FLOW_DESCR_END
FLOW_DESCR_START::Source: error;index.js:810[32:36];Sink: error;jobs-agent.js:708[48:52]::FLOW_DESCR_END
FLOW_DESCR_START::Source: error;index.js:810[32:36];Sink: error;jobs-example.js:66[31:35]::FLOW_DESCR_END
FLOW_DESCR_START::Source: error;index.js:810[32:36];Sink: error;temperature-control.js:431[27:31]::FLOW_DESCR_END
FLOW_DESCR_START::Source: error;index.js:810[32:36];Sink: error;thing-example.js:222[28:32]::FLOW_DESCR_END
FLOW_DESCR_START::Source: error;index.js:810[32:36];Sink: error;thing-passthrough-example.js:226[28:32]::FLOW_DESCR_END
FLOW_DESCR_START::Source: error;index.js:810[32:36];Sink: error;index.js:311[26:30]::FLOW_DESCR_END
FLOW_DESCR_START::Source: error;index.js:810[32:36];Sink: error;index.js:335[26:30]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","810","32","810","36"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: packet;index.js:813[37:42];Sink: packet;index.js:814[31:36]::FLOW_DESCR_END
FLOW_DESCR_START::Source: packet;index.js:813[37:42];Sink: packet;index.js:338[31:36]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","813","37","813","42"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: packet;index.js:816[40:45];Sink: packet;index.js:817[34:39]::FLOW_DESCR_END
FLOW_DESCR_START::Source: packet;index.js:816[40:45];Sink: packet;index.js:341[34:39]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","816","40","816","45"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: offline ... e.topic;index.js:732[31:57]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: topic;index.js:820[28:32]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: topic;index.js:843[28:32]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: topic;device-example.js:101[33:37]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: topic;jobs-agent.js:712[48:52]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: topic;jobs-example.js:70[33:37]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: topic;temperature-control.js:436[29:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: 'got \' ... ingName;thing-example.js:150[22:67]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: topic;thing-example.js:226[30:34]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: 'got \' ... ingName;thing-passthrough-example.js:144[22:67]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: 'receiv ... tring();thing-passthrough-example.js:192[19:72]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: topic;thing-passthrough-example.js:230[30:34]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: buildJo ... pdate');index.js:108[22:63]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: topic;index.js:157[31:35]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: devFunc ...  topics;index.js:151[22:50]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: operation;index.js:281[56:64]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: operationStatus;index.js:319[38:52]::FLOW_DESCR_END
FLOW_DESCR_START::Source: topic;index.js:819[34:38];Sink: topic;index.js:375[34:38]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","819","34","819","38"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: offline ... e.topic;index.js:732[31:57]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: offline ... message;index.js:733[19:47]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: message;index.js:820[35:41]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: topic;index.js:843[28:32]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: message;index.js:843[35:41]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: payload.toString();device-example.js:101[40:57]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: 'receiv ... Object);echo-example.js:67[22:39]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: payload.toString();jobs-agent.js:712[55:72]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: payload.toString();jobs-example.js:70[40:57]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: payload.toString();temperature-control.js:436[36:53]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: 'delta  ... Object);thing-example.js:173[22:75]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: payload.toString();thing-example.js:226[37:54]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: JSON.st ...      });thing-passthrough-example.js:170[13:14]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: 'receiv ... tring();thing-passthrough-example.js:192[19:72]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: payload.toString();thing-passthrough-example.js:230[37:54]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: buildJo ... pdate');index.js:108[22:63]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: payload;index.js:157[38:44]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: 'failed ... ' + err;index.js:178[27:86]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: 'failed ... ' + err;index.js:210[27:86]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: 'out-of ... + '\')';index.js:251[32:60]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: stateObject;index.js:263[40:50]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: stateObject;index.js:281[67:77]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: stateObject;index.js:319[68:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: payload;index.js:375[41:47]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;index.js:819[41:47];Sink: message;index.js:713[32:38]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","819","41","819","47"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: packet;index.js:819[50:55];Sink: packet;index.js:820[44:49]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","819","50","819","55"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;tls.js:28[29:31];Sink: err;tls.js:29[32:34]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/lib/tls.js","28","29","28","31"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:65[9:29];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:65[9:29];Sink: 'string ...  + '\n';index.js:110[19:58]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:65[9:29];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:65[9:29];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:65[9:29];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/lifecycle/index.js","65","9","65","29"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: AWS.con ... ntityId;index.js:101[44:76];Sink: 'retrie ... ntityId;index.js:101[19:76]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/lifecycle/index.js","101","44","101","76"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:150[51:78];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:150[51:78];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:150[51:78];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:150[51:78];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/lifecycle/index.js","150","51","150","78"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data.Cr ... onToken;index.js:152[16:44];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... onToken;index.js:152[16:44];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... onToken;index.js:152[16:44];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/lifecycle/index.js","152","16","152","44"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:64[9:29];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:64[9:29];Sink: 'string ...  + '\n';index.js:110[19:58]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:64[9:29];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:64[9:29];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:64[9:29];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/mqtt-explorer/index.js","64","9","64","29"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: AWS.con ... ntityId;index.js:100[44:76];Sink: 'retrie ... ntityId;index.js:100[19:76]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/mqtt-explorer/index.js","100","44","100","76"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:110[51:78];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:110[51:78];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:110[51:78];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:110[51:78];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/mqtt-explorer/index.js","110","51","110","78"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data.Cr ... onToken;index.js:112[16:44];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... onToken;index.js:112[16:44];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... onToken;index.js:112[16:44];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/mqtt-explorer/index.js","112","16","112","44"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: AWSConf ... on.host;entry.js:41[9:29];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;entry.js:41[9:29];Sink: 'string ...  + '\n';index.js:110[19:58]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;entry.js:41[9:29];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;entry.js:41[9:29];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;entry.js:41[9:29];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/mqtt-webpack/entry.js","41","9","41","29"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: AWS.con ... ntityId;entry.js:77[44:76];Sink: 'retrie ... ntityId;entry.js:77[19:76]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/mqtt-webpack/entry.js","77","44","77","76"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data.Cr ... ssKeyId;entry.js:87[51:78];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;entry.js:87[51:78];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;entry.js:87[51:78];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;entry.js:87[51:78];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/mqtt-webpack/entry.js","87","51","87","78"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data.Cr ... onToken;entry.js:89[16:44];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... onToken;entry.js:89[16:44];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... onToken;entry.js:89[16:44];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/mqtt-webpack/entry.js","89","16","89","44"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:56[9:29];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:56[9:29];Sink: 'string ...  + '\n';index.js:110[19:58]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:56[9:29];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:56[9:29];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: AWSConf ... on.host;index.js:56[9:29];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/temperature-monitor/index.js","56","9","56","29"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: name;index.js:102[31:34];Sink: name;index.js:112[42:45]::FLOW_DESCR_END
FLOW_DESCR_START::Source: name;index.js:102[31:34];Sink: thingName;index.js:528[78:86]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/temperature-monitor/index.js","102","31","102","34"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: AWS.con ... ntityId;index.js:138[44:76];Sink: 'retrie ... ntityId;index.js:138[19:76]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/temperature-monitor/index.js","138","44","138","76"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:148[48:75];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:148[48:75];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:148[48:75];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... ssKeyId;index.js:148[48:75];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/temperature-monitor/index.js","148","48","148","75"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data.Cr ... onToken;index.js:150[16:44];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... onToken;index.js:150[16:44];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data.Cr ... onToken;index.js:150[16:44];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/browser/temperature-monitor/index.js","150","16","150","44"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: error;device-example.js:96[29:33];Sink: error;device-example.js:97[31:35]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/device-example.js","96","29","96","33"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: topic;device-example.js:100[31:35];Sink: topic;device-example.js:101[33:37]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/device-example.js","100","31","100","35"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: payload;device-example.js:100[38:44];Sink: payload.toString();device-example.js:101[40:57]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/device-example.js","100","38","100","44"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: error;echo-example.js:61[29:33];Sink: error;echo-example.js:62[31:35]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/echo-example.js","61","29","61","33"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: thingName;echo-example.js:66[29:37];Sink: 'receiv ... Object);echo-example.js:67[22:39]::FLOW_DESCR_END
FLOW_DESCR_START::Source: thingName;echo-example.js:66[29:37];Sink: thingName;index.js:528[78:86]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/echo-example.js","66","29","66","37"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: stateObject;echo-example.js:66[40:50];Sink: 'receiv ... Object);echo-example.js:67[22:39]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/echo-example.js","66","40","66","50"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: thingName;echo-example.js:77[31:39];Sink: 'timeou ... ntToken;echo-example.js:78[23:78]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/echo-example.js","77","31","77","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: clientToken;echo-example.js:77[42:52];Sink: 'timeou ... ntToken;echo-example.js:78[23:78]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/echo-example.js","77","42","77","52"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;jobs-agent.js:192[32:35];Sink: data;jobs-agent.js:193[20:23]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/jobs-agent.js","192","32","192","35"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: error;jobs-agent.js:707[29:33];Sink: error;jobs-agent.js:708[48:52]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/jobs-agent.js","707","29","707","33"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: topic;jobs-agent.js:711[31:35];Sink: topic;jobs-agent.js:712[48:52]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/jobs-agent.js","711","31","711","35"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: payload;jobs-agent.js:711[38:44];Sink: payload.toString();jobs-agent.js:712[55:72]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/jobs-agent.js","711","38","711","44"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: fs.read ... 'utf8');jobs-agent.js:753[38:91];Sink: JSON.st ... ckages);jobs-agent.js:357[52:84]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/jobs-agent.js","753","38","753","91"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: error;jobs-example.js:65[29:33];Sink: error;jobs-example.js:66[31:35]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/examples/jobs-example.js","65","29","65","33"
