"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: rfxtrxPort.port;rfxcom.js:66[30:44];Sink: ""connec ...  + port;rfxcom.js:70[34:56]::FLOW_DESCR_END","/rfxcom.js","66","30","66","44"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;rfxcom.js:75[58:60];Sink: ""connec ... "" + msg;rfxcom.js:77[38:61]::FLOW_DESCR_END","/rfxcom.js","75","58","75","60"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: message;rfxcom.js:92[53:59];Sink: ""RFXCOM ... e + "")"";rfxcom.js:94[39:86]::FLOW_DESCR_END","/rfxcom.js","92","53","92","59"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: responseCode;rfxcom.js:92[70:81];Sink: ""RFXCOM ... e + "")"";rfxcom.js:94[39:86]::FLOW_DESCR_END","/rfxcom.js","92","70","92","81"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: list;rfxcom.js:97[59:62];Sink: message;rfxcom.js:105[39:45]::FLOW_DESCR_END","/rfxcom.js","97","59","97","62"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: entry.deviceId;rfxcom.js:103[87:100];Sink: message;rfxcom.js:105[39:45]::FLOW_DESCR_END","/rfxcom.js","103","87","103","100"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;rfxcom.js:108[55:57];Sink: ""discon ... "" + msg;rfxcom.js:109[34:55]::FLOW_DESCR_END","/rfxcom.js","108","55","108","57"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: evt;rfxcom.js:322[43:45];Sink: ""rfx-li ... ing(16);rfxcom.js:354[35:115]::FLOW_DESCR_END","/rfxcom.js","322","43","322","45"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: evt;rfxcom.js:360[43:45];Sink: ""rfx-li ... ing(16);rfxcom.js:386[35:115]::FLOW_DESCR_END","/rfxcom.js","360","43","360","45"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: evt;rfxcom.js:499[43:45];Sink: ""rfx-li ... ing(16);rfxcom.js:520[35:115]::FLOW_DESCR_END","/rfxcom.js","499","43","499","45"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;rfxcom.js:739[40:42];Sink: ""rfx-PT ... d + ""'"";rfxcom.js:759[35:119]::FLOW_DESCR_END","/rfxcom.js","739","40","739","42"
